"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
A'ayan Real Estate Company K.S.C.P. (KWSE:AAYANRE),KWSE:AAYANRE,Real Estate (General/Diversified),Kuwait,Emerging Markets,Africa and Middle East
A/S SAF Tehnika (RISE:SAF1R),RISE:SAF1R,Telecom. Equipment,Latvia,Emerging Markets,Eastern Europe & Russia
A1N Inc. (KOSDAQ:A035290),KOSDAQ:A035290,Education,South Korea,Emerging Markets,Small Asia
A2Z Infra Engineering Limited (BSE:533292),BSE:533292,Engineering/Construction,India,Emerging Markets,India
A8 New Media Group Limited (SEHK:800),SEHK:800,Software (System & Application),China,Emerging Markets,China
AA Group Holdings Ltd. (Catalist:5GZ),Catalist:5GZ,Electronics (General),Malaysia,Emerging Markets,Small Asia
AAC Technologies Holdings Inc. (SEHK:2018),SEHK:2018,Electronics (General),China,Emerging Markets,China
Aadhaar Ventures India Limited (BSE:531611),BSE:531611,Retail (Distributors),India,Emerging Markets,India
Aadi Industries Ltd. (BSE:530027),BSE:530027,Packaging & Container,India,Emerging Markets,India
AAG Energy Holdings Limited (SEHK:2686),SEHK:2686,Oil/Gas (Production and Exploration),Hong Kong,Emerging Markets,China
Aamal Company Q.S.C (DSM:AHCS),DSM:AHCS,Diversified,Qatar,Emerging Markets,Africa and Middle East
aamra technologies limited (DSE:AAMRATECH),DSE:AAMRATECH,Computer Services,Bangladesh,Emerging Markets,Small Asia
Aananda Lakshmi Spinning Mills Limited (BSE:539096),BSE:539096,Apparel,India,Emerging Markets,India
Aanchal Ispat Limited (BSE:538812),BSE:538812,Steel,India,Emerging Markets,India
AAPICO Hitech Public Company Limited (SET:AH),SET:AH,Auto Parts,Thailand,Emerging Markets,Small Asia
Aarey Drugs & Pharmaceuticals Ltd. (BSE:524412),BSE:524412,Drugs (Pharmaceutical),India,Emerging Markets,India
Aarti Drugs Limited (BSE:524348),BSE:524348,Drugs (Pharmaceutical),India,Emerging Markets,India
Aarti Industries Ltd. (BSE:524208),BSE:524208,Chemical (Specialty),India,Emerging Markets,India
Aarvee Denims & Exports Ltd. (BSE:514274),BSE:514274,Apparel,India,Emerging Markets,India
Aarya Global Shares and Securities Limited (BSE:531731),BSE:531731,Brokerage & Investment Banking,India,Emerging Markets,India
Aashee Infotech Ltd (BSE:519319),BSE:519319,Software (Internet),India,Emerging Markets,India
AB Amber Grid (NSEL:AMG1L),NSEL:AMG1L,Power,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Bank Limited (DSE:ABBANK),DSE:ABBANK,Bank (Money Center),Bangladesh,Emerging Markets,Small Asia
AB Grigeo Grigiskes (NSEL:GRG1L),NSEL:GRG1L,Paper/Forest Products,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Inter RAO Lietuva (WSE:IRL),WSE:IRL,Power,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Kauno energija (NSEL:KNR1L),NSEL:KNR1L,Power,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Klaipedos nafta (NSEL:KNF1L),NSEL:KNF1L,Oil/Gas Distribution,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Linas (NSEL:LNS1L),NSEL:LNS1L,Apparel,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Linas Agro Group (NSEL:LNA1L),NSEL:LNA1L,Farming/Agriculture,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Pieno Zvaigzdes (NSEL:PZV1L),NSEL:PZV1L,Food Processing,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Snaige (NSEL:SNG1L),NSEL:SNG1L,Furn/Home Furnishings,Lithuania,Emerging Markets,Eastern Europe & Russia
AB Vilkyskiu pienine (NSEL:VLP1L),NSEL:VLP1L,Food Processing,Lithuania,Emerging Markets,Eastern Europe & Russia
ABA Chemicals Corporation (SZSE:300261),SZSE:300261,Chemical (Specialty),China,Emerging Markets,China
"AbaCore Capital Holdings, Inc. (PSE:ABA)",PSE:ABA,Real Estate (Operations & Services),Philippines,Emerging Markets,Small Asia
Aban Offshore Limited (BSE:523204),BSE:523204,Oil/Gas (Production and Exploration),India,Emerging Markets,India
Abans Electricals PLC (COSE:ABAN-N-0000),COSE:ABAN-N-0000,Furn/Home Furnishings,Sri Lanka,Emerging Markets,Small Asia
Abans Finance PLC (COSE:AFSL-N-0000),COSE:AFSL-N-0000,Financial Svcs. (Non-bank & Insurance),Sri Lanka,Emerging Markets,Small Asia
ABB India Limited (BSE:500002),BSE:500002,Electrical Equipment,India,Emerging Markets,India
Abbott India Limited (BSE:500488),BSE:500488,Drugs (Pharmaceutical),India,Emerging Markets,India
Abbott Laboratories (Pakistan) Limited (KASE:ABOT),KASE:ABOT,Drugs (Pharmaceutical),Pakistan,Emerging Markets,Small Asia
ABC Bearings Ltd. (BSE:505665),BSE:505665,Machinery,India,Emerging Markets,India
ABC Gas (International) Ltd. (BSE:513119),BSE:513119,Retail (Distributors),India,Emerging Markets,India
ABC India Limited (BSE:520123),BSE:520123,Transportation,India,Emerging Markets,India
abc Multiactive Limited (SEHK:8131),SEHK:8131,Software (System & Application),Hong Kong,Emerging Markets,China
ABC Taiwan Electronics Corp. (GTSM:3236),GTSM:3236,Electronics (General),Taiwan,Emerging Markets,Small Asia
ABC Transport Plc (NGSE:ABCTRANS),NGSE:ABCTRANS,Trucking,Nigeria,Emerging Markets,Africa and Middle East
"ABCO Electronics Co., Ltd. (KOSDAQ:A036010)",KOSDAQ:A036010,Electronics (General),South Korea,Emerging Markets,Small Asia
Abdullah A. M. Al-Khodari Sons Company (SASE:1330),SASE:1330,Engineering/Construction,Saudi Arabia,Emerging Markets,Africa and Middle East
Abdullah Al-Othaim Markets Company (SASE:4001),SASE:4001,Retail (General),Saudi Arabia,Emerging Markets,Africa and Middle East
Abdullah Shah Ghazi Sugar Mills Ltd. (KASE:AGSML),KASE:AGSML,Food Processing,Pakistan,Emerging Markets,Small Asia
Abdulmohsen Al-Hokair Group for Tourism and Development Company (SASE:1820),SASE:1820,Hotel/Gaming,Saudi Arabia,Emerging Markets,Africa and Middle East
Abetrans Logistics Ltd (TASE:ABTR-M),TASE:ABTR-M,Shipbuilding & Marine,Israel,Emerging Markets,Africa and Middle East
ABG Shipyard Limited (BSE:532682),BSE:532682,Construction Supplies,India,Emerging Markets,India
Abhinav Capital Services Ltd (BSE:532057),BSE:532057,Financial Svcs. (Non-bank & Insurance),India,Emerging Markets,India
Abhishek Corporation Ltd (BSE:532831),BSE:532831,Apparel,India,Emerging Markets,India
