Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
Silver Spruce Resources Inc. (TSXV:SSE),TSXV:SSE,Coal & Related Energy,Canada,"Australia, NZ and Canada",Canada
Silver Standard Resources Inc. (TSX:SSO),TSX:SSO,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Silver Wheaton Corp. (TSX:SLW),TSX:SLW,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Silvercorp Metals Inc. (TSX:SVM),TSX:SVM,Precious Metals,Canada,"Australia, NZ and Canada",Canada
SilverCrest Metals Inc. (OTCPK:SVCM.F),OTCPK:SVCM.F,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Silvermet Inc. (TSXV:SYI),TSXV:SYI,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Simba Energy Inc. (TSXV:SMB),TSXV:SMB,Oil/Gas (Production and Exploration),Canada,"Australia, NZ and Canada",Canada
Simonds Group Limited (ASX:SIO),ASX:SIO,Homebuilding,Australia,"Australia, NZ and Canada",Australia & NZ
Sipa Resources Ltd. (ASX:SRI),ASX:SRI,Metals & Mining,Australia,"Australia, NZ and Canada",Australia & NZ
Sir Royalty Income Fund (TSX:SRV.UN),TSX:SRV.UN,Restaurant/Dining,Canada,"Australia, NZ and Canada",Canada
Sirios Resources Inc. (TSXV:SOI),TSXV:SOI,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Sirios Resources Inc. (TSXV:SOI),TSXV:SOI,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Sirius XM Canada Holdings Inc. (TSX:XSR),TSX:XSR,Cable TV,Canada,"Australia, NZ and Canada",Canada
Sirona Biochem Corp. (TSXV:SBM),TSXV:SBM,Drugs (Biotechnology),Canada,"Australia, NZ and Canada",Canada
Sirtex Medical Limited (ASX:SRX),ASX:SRX,Drugs (Biotechnology),Australia,"Australia, NZ and Canada",Australia & NZ
Site Group International Limited (ASX:SIT),ASX:SIT,Education,Australia,"Australia, NZ and Canada",Australia & NZ
Siyata Mobile Inc. (TSXV:SIM),TSXV:SIM,Telecom. Equipment,Canada,"Australia, NZ and Canada",Canada
Skeena Resources Limited (TSXV:SKE),TSXV:SKE,Precious Metals,Canada,"Australia, NZ and Canada",Canada
Skellerup Holdings Limited (NZSE:SKL),NZSE:SKL,Machinery,New Zealand,"Australia, NZ and Canada",Australia & NZ
"Skkynet Cloud Systems, Inc. (OTCBB:SKKY)",OTCBB:SKKY,Software (System & Application),Canada,"Australia, NZ and Canada",Canada
Sky City Entertainment Group Ltd. (NZSE:SKC),NZSE:SKC,Hotel/Gaming,New Zealand,"Australia, NZ and Canada",Australia & NZ
Sky Harvest Energy Corp. (OTCPK:SKYH),OTCPK:SKYH,Green & Renewable Energy,Canada,"Australia, NZ and Canada",Canada
Sky Network Television Ltd. (NZSE:SKT),NZSE:SKT,Cable TV,New Zealand,"Australia, NZ and Canada",Australia & NZ
Sky Ridge Resources Ltd. (TSXV:SYR.H),TSXV:SYR.H,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Skydive the Beach Group Limited (ASX:SKB),ASX:SKB,Recreation,Australia,"Australia, NZ and Canada",Australia & NZ
SkyFii Ltd. (ASX:SKF),ASX:SKF,Software (Internet),Australia,"Australia, NZ and Canada",Australia & NZ
Skyharbour Resources Ltd. (TSXV:SYH),TSXV:SYH,Coal & Related Energy,Canada,"Australia, NZ and Canada",Canada
Skyline International Development Inc. (TASE:SKLN),TASE:SKLN,Real Estate (Operations & Services),Canada,"Australia, NZ and Canada",Canada
Slam Exploration Ltd. (TSXV:SXL),TSXV:SXL,Metals & Mining,Canada,"Australia, NZ and Canada",Canada
Slate Office REIT (TSX:SOT.UN),TSX:SOT.UN,R.E.I.T.,Canada,"Australia, NZ and Canada",Canada
Slater & Gordon Limited (ASX:SGH),ASX:SGH,Business & Consumer Services,Australia,"Australia, NZ and Canada",Australia & NZ
Sleep Country Canada Holdings Inc. (TSX:ZZZ),TSX:ZZZ,Retail (Special Lines),Canada,"Australia, NZ and Canada",Canada
SLI Systems Limited (NZSE:SLI),NZSE:SLI,Software (Internet),New Zealand,"Australia, NZ and Canada",Australia & NZ
Slyce Inc. (TSXV:SLC),TSXV:SLC,Software (Internet),Canada,"Australia, NZ and Canada",Canada
Smart Employee Benefits Inc. (TSXV:SEB),TSXV:SEB,Software (System & Application),Canada,"Australia, NZ and Canada",Canada
Smart Parking Limited (ASX:SPZ),ASX:SPZ,Electronics (General),Australia,"Australia, NZ and Canada",Australia & NZ
Smart Real Estate Investment Trust (TSX:SRU.UN),TSX:SRU.UN,R.E.I.T.,Canada,"Australia, NZ and Canada",Canada
Smart Technologies Inc. (TSX:SMA),TSX:SMA,Computers/Peripherals,Canada,"Australia, NZ and Canada",Canada
SmartCool Systems Inc. (TSXV:SSC),TSXV:SSC,Electrical Equipment,Canada,"Australia, NZ and Canada",Canada
Smartgroup Corporation Ltd (ASX:SIQ),ASX:SIQ,Business & Consumer Services,Australia,"Australia, NZ and Canada",Australia & NZ
SmartPay Holdings Limited (NZSE:SPY),NZSE:SPY,Information Services,New Zealand,"Australia, NZ and Canada",Australia & NZ
SmartTrans Holdings Ltd. (ASX:SMA),ASX:SMA,Software (System & Application),Australia,"Australia, NZ and Canada",Australia & NZ
Smiths City Group Ltd. (NZSE:SCY),NZSE:SCY,Retail (Special Lines),New Zealand,"Australia, NZ and Canada",Australia & NZ
SMS Management & Technology Ltd. (ASX:SMX),ASX:SMX,Computer Services,Australia,"Australia, NZ and Canada",Australia & NZ
SMTC Corporation (NasdaqGM:SMTX),NasdaqGM:SMTX,Electronics (General),Canada,"Australia, NZ and Canada",Canada
Snakk Media Limited (NZSE:SNK),NZSE:SNK,Advertising,Australia,"Australia, NZ and Canada",Australia & NZ
