Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
InfoSearch Media Inc. (OTCPK:ISHM),OTCPK:ISHM,Software (Internet),United States,United States,United States
Infosonics Corp. (NasdaqCM:IFON),NasdaqCM:IFON,Telecom. Equipment,United States,United States,United States
Infrastructure Developments Corp. (OTCPK:IDVC),OTCPK:IDVC,Aerospace/Defense,United States,United States,United States
Infrastructure Materials Corp. (OTCPK:IFAM),OTCPK:IFAM,Precious Metals,United States,United States,United States
"Infrax Systems, Inc. (OTCPK:IFXY)",OTCPK:IFXY,Telecom. Equipment,United States,United States,United States
"Infusion Brands International, Inc. (OTCPK:INBI)",OTCPK:INBI,Retail (Special Lines),United States,United States,United States
"InfuSystem Holdings, Inc. (AMEX:INFU)",AMEX:INFU,Healthcare Support Services,United States,United States,United States
"Ingles Markets, Incorporated (NasdaqGS:IMKT.A)",NasdaqGS:IMKT.A,Retail (Grocery and Food),United States,United States,United States
Ingram Micro Inc. (NYSE:IM),NYSE:IM,Computer Services,United States,United States,United States
Ingredion Incorporated (NYSE:INGR),NYSE:INGR,Farming/Agriculture,United States,United States,United States
Inland Real Estate Corp. (NYSE:IRC),NYSE:IRC,R.E.I.T.,United States,United States,United States
InnerWorkings Inc. (NasdaqGS:INWK),NasdaqGS:INWK,Publshing & Newspapers,United States,United States,United States
"Innocap, Inc. (OTCPK:INNO)",OTCPK:INNO,Business & Consumer Services,United States,United States,United States
Innodata Inc. (NasdaqGM:INOD),NasdaqGM:INOD,Information Services,United States,United States,United States
Innolog Holdings Corporation (OTCPK:INHC),OTCPK:INHC,Transportation,United States,United States,United States
Innophos Holdings Inc (NasdaqGS:IPHS),NasdaqGS:IPHS,Chemical (Specialty),United States,United States,United States
Innospec Inc. (NasdaqGS:IOSP),NasdaqGS:IOSP,Chemical (Specialty),United States,United States,United States
"Innovaro, Inc. (OTCPK:INNI)",OTCPK:INNI,Business & Consumer Services,United States,United States,United States
"Innovativ Media Group, Inc. (OTCPK:INMG)",OTCPK:INMG,Entertainment,United States,United States,United States
"Innovative Beverage Group Holdings, Inc. (OTCPK:IBGH)",OTCPK:IBGH,Food Wholesalers,United States,United States,United States
Innovative Designs Inc. (OTCPK:IVDN),OTCPK:IVDN,Recreation,United States,United States,United States
"Innovative Food Holdings, Inc. (OTCPK:IVFH)",OTCPK:IVFH,Food Wholesalers,United States,United States,United States
"Innovative Holdings Alliance, Inc. (OTCPK:IHAI)",OTCPK:IHAI,Heathcare Information and Technology,United States,United States,United States
Innovative Solutions & Support Inc. (NasdaqGS:ISSC),NasdaqGS:ISSC,Aerospace/Defense,United States,United States,United States
"Innovus Pharmaceuticals, Inc. (OTCPK:INNV)",OTCPK:INNV,Drugs (Pharmaceutical),United States,United States,United States
Innsuites Hospitality Trust (AMEX:IHT),AMEX:IHT,R.E.I.T.,United States,United States,United States
"Inogen, Inc. (NasdaqGS:INGN)",NasdaqGS:INGN,Healthcare Products,United States,United States,United States
"Inolife Technologies, Inc. (OTCPK:INOL)",OTCPK:INOL,Healthcare Support Services,United States,United States,United States
Inotek Pharmaceuticals Corporation (NasdaqGM:ITEK),NasdaqGM:ITEK,Drugs (Biotechnology),United States,United States,United States
"Inovalon Holdings, Inc. (NasdaqGS:INOV)",NasdaqGS:INOV,Heathcare Information and Technology,United States,United States,United States
"Inovio Pharmaceuticals, Inc. (NasdaqGS:INO)",NasdaqGS:INO,Drugs (Biotechnology),United States,United States,United States
Inphi Corporation (NYSE:IPHI),NYSE:IPHI,Semiconductor,United States,United States,United States
"Inrad Optics, Inc. (OTCPK:INRD)",OTCPK:INRD,Electronics (General),United States,United States,United States
"Inscor, Inc. Corporation (OTCPK:IOGA)",OTCPK:IOGA,Insurance (Life),United States,United States,United States
Insight Enterprises Inc. (NasdaqGS:NSIT),NasdaqGS:NSIT,Computer Services,United States,United States,United States
Insignia Systems Inc. (NasdaqCM:ISIG),NasdaqCM:ISIG,Advertising,United States,United States,United States
Insmed Incorporated (NasdaqGS:INSM),NasdaqGS:INSM,Drugs (Biotechnology),United States,United States,United States
"Insperity, Inc. (NYSE:NSP)",NYSE:NSP,Business & Consumer Services,United States,United States,United States
Inspira Financial Inc. (TSXV:LND),TSXV:LND,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"Inspired Builders, Inc. (OTCPK:ISRB)",OTCPK:ISRB,R.E.I.T.,United States,United States,United States
"InspireMD, Inc. (AMEX:NSPR)",AMEX:NSPR,Healthcare Products,United States,United States,United States
InsPro Technologies Corporation (OTCPK:ITCC),OTCPK:ITCC,Software (Internet),United States,United States,United States
"Installed Building Products, Inc. (NYSE:IBP)",NYSE:IBP,Homebuilding,United States,United States,United States
Insteel Industries Inc. (NasdaqGS:IIIN),NasdaqGS:IIIN,Building Materials,United States,United States,United States
"Institutional Financial Markets, Inc. (AMEX:IFMI)",AMEX:IFMI,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"Instructure, Inc. (NYSE:INST)",NYSE:INST,Software (Internet),United States,United States,United States
Insulet Corporation (NasdaqGS:PODD),NasdaqGS:PODD,Healthcare Products,United States,United States,United States
"INSYS Therapeutics, Inc. (NasdaqGM:INSY)",NasdaqGM:INSY,Drugs (Biotechnology),United States,United States,United States
Integra LifeSciences Holdings Corporation (NasdaqGS:IART),NasdaqGS:IART,Healthcare Products,United States,United States,United States
"Integral Technologies, Inc. (OTCPK:ITKG)",OTCPK:ITKG,Chemical (Basic),United States,United States,United States
"Integral Vision, Inc. (OTCPK:INVI)",OTCPK:INVI,Electronics (General),United States,United States,United States
Integrated Biopharma Inc. (OTCPK:INBP),OTCPK:INBP,Household Products,United States,United States,United States
Integrated Business Systems & Services Inc. (OTCPK:IBSS),OTCPK:IBSS,Software (System & Application),United States,United States,United States
"Integrated Cannabis Solutions, Inc. (OTCPK:IGPK)",OTCPK:IGPK,Business & Consumer Services,United States,United States,United States
"Integrated Device Technology, Inc. (NasdaqGS:IDTI)",NasdaqGS:IDTI,Semiconductor,United States,United States,United States
Integrated Drilling Equipment Holdings Corp. (OTCPK:IRIG),OTCPK:IRIG,Oilfield Svcs/Equip.,United States,United States,United States
"Integrated Electrical Services, Inc. (NasdaqGM:IESC)",NasdaqGM:IESC,Engineering/Construction,United States,United States,United States
"Integrated Energy Solutions, Inc. (OTCPK:IENG)",OTCPK:IENG,Metals & Mining,United States,United States,United States
Integrated Environmental Technologies Ltd. (OTCPK:IEVM),OTCPK:IEVM,Environmental & Waste Services,United States,United States,United States
Integrated Freight Corporation (OTCPK:IFCR),OTCPK:IFCR,Trucking,United States,United States,United States
"Integrated Pharmaceuticals, Inc. (OTCPK:INTP)",OTCPK:INTP,Drugs (Pharmaceutical),United States,United States,United States
Integrated Surgical Systems Inc. (OTCPK:ISSM),OTCPK:ISSM,Environmental & Waste Services,United States,United States,United States
Intel Corporation (NasdaqGS:INTC),NasdaqGS:INTC,Semiconductor,United States,United States,United States
"Inteliquent, Inc. (NasdaqGS:IQNT)",NasdaqGS:IQNT,Telecom. Services,United States,United States,United States
"Intellect Neurosciences, Inc. (OTCPK:ILNS)",OTCPK:ILNS,Drugs (Biotechnology),United States,United States,United States
"IntelliCell BioSciences, Inc. (OTCPK:SVFC)",OTCPK:SVFC,Drugs (Biotechnology),United States,United States,United States
"Intellicheck Mobilisa, Inc. (AMEX:IDN)",AMEX:IDN,Electronics (General),United States,United States,United States
"Intelligent Epitaxy Technology, Inc. (GTSM:4971)",GTSM:4971,Semiconductor,United States,United States,United States
"Intelligent Highway Solutions, Inc. (OTCPK:IHSI)",OTCPK:IHSI,Transportation,United States,United States,United States
"Intelligent Living America, Inc. (OTCPK:ILIV)",OTCPK:ILIV,Household Products,United States,United States,United States
Intelligent Systems Corporation (AMEX:INS),AMEX:INS,Machinery,United States,United States,United States
"Intellinetics, Inc. (OTCPK:INLX)",OTCPK:INLX,Software (System & Application),United States,United States,United States
Inter Parfums Inc. (NasdaqGS:IPAR),NasdaqGS:IPAR,Household Products,United States,United States,United States
Inter-M Corporation (KOSDAQ:A017250),KOSDAQ:A017250,Electronics (Consumer & Office),United States,United States,United States
"Interactive Brokers Group, Inc. (NasdaqGS:IBKR)",NasdaqGS:IBKR,Brokerage & Investment Banking,United States,United States,United States
Interactive Intelligence Group Inc. (NasdaqGS:ININ),NasdaqGS:ININ,Software (System & Application),United States,United States,United States
Interactive Motorsports and Entertainment Corp. (OTCPK:IMTS),OTCPK:IMTS,Recreation,United States,United States,United States
"Intercept Pharmaceuticals, Inc. (NasdaqGS:ICPT)",NasdaqGS:ICPT,Drugs (Biotechnology),United States,United States,United States
"InterCloud Systems, Inc. (NasdaqCM:ICLD)",NasdaqCM:ICLD,Computer Services,United States,United States,United States
"Intercontinental Exchange, Inc. (NYSE:ICE)",NYSE:ICE,Financial Svcs. (Non-bank & Insurance),United States,United States,United States
"InterCore, Inc. (OTCPK:ICOR)",OTCPK:ICOR,Investments & Asset Management,United States,United States,United States
"InterDigital, Inc. (NasdaqGS:IDCC)",NasdaqGS:IDCC,Telecom. Equipment,United States,United States,United States
Interface Inc. (NasdaqGS:TILE),NasdaqGS:TILE,Office Equipment & Services,United States,United States,United States
"Interleukin Genetics, Inc. (OTCPK:ILIU)",OTCPK:ILIU,Drugs (Biotechnology),United States,United States,United States
"Interlink Electronics, Inc. (OTCPK:LINK)",OTCPK:LINK,Electronics (General),United States,United States,United States
Intermap Technologies Corp. (TSX:IMP),TSX:IMP,Business & Consumer Services,United States,United States,United States
InterMetro Communications Inc. (OTCPK:IMTO),OTCPK:IMTO,Telecom. Services,United States,United States,United States
"Intermolecular, Inc. (NasdaqGS:IMI)",NasdaqGS:IMI,Semiconductor,United States,United States,United States
Internap Corporation (NasdaqGS:INAP),NasdaqGS:INAP,Software (Internet),United States,United States,United States
International Automated Systems Inc. (OTCPK:IAUS),OTCPK:IAUS,Electrical Equipment,United States,United States,United States
International Baler Corp. (OTCPK:IBAL),OTCPK:IBAL,Machinery,United States,United States,United States
International Bancshares Corporation (NasdaqGS:IBOC),NasdaqGS:IBOC,Banks (Regional),United States,United States,United States
International Barrier Technology Inc. (TSXV:IBH),TSXV:IBH,Building Materials,United States,United States,United States
International Business Machines Corporation (NYSE:IBM),NYSE:IBM,Computer Services,United States,United States,United States
International Card Establishment Inc. (OTCPK:ICRD),OTCPK:ICRD,Information Services,United States,United States,United States
"International Consolidated Companies, Inc. (OTCPK:INCC)",OTCPK:INCC,Advertising,United States,United States,United States
International Dispensing Corp. (OTCPK:IDND),OTCPK:IDND,Packaging & Container,United States,United States,United States
International Flavors & Fragrances Inc. (NYSE:IFF),NYSE:IFF,Chemical (Specialty),United States,United States,United States
International Isotopes Inc. (OTCBB:INIS),OTCBB:INIS,Heathcare Information and Technology,United States,United States,United States
International Paper Company (NYSE:IP),NYSE:IP,Paper/Forest Products,United States,United States,United States
International Shipholding Corp. (NYSE:ISH),NYSE:ISH,Shipbuilding & Marine,United States,United States,United States
"International Silver, Inc. (OTCPK:ISLV)",OTCPK:ISLV,Precious Metals,United States,United States,United States
International Speedway Corp. (NasdaqGS:ISCA),NasdaqGS:ISCA,Recreation,United States,United States,United States
"International Spirit & Beverage Group, Inc. (OTCPK:ISBG)",OTCPK:ISBG,Real Estate (Development),United States,United States,United States
International Star Inc. (OTCPK:ILST),OTCPK:ILST,Metals & Mining,United States,United States,United States
International Stem Cell Corporation (OTCPK:ISCO),OTCPK:ISCO,Drugs (Biotechnology),United States,United States,United States
"International Sustainability Group, Inc. (OTCPK:ISGP)",OTCPK:ISGP,Household Products,United States,United States,United States
