"To look up a company, you can either go through the entire list (which is alphabetically sorted) or use the lookup function that I have built in.",,,,,
Company name,"The Daiei,Inc. (TSE:8263)",Please use the scrolling list to find your company,,,
Industry Group =,Insurance (Life),,,,
Country =,Japan,,,,
Broad Geographical group =,Japan,,,,
Sub Group =,Japan,,,,
"If you want to find the companies in a sector, use the industry sorted worksheet in this spreadsheet",,,,,
,,,,,
,,,,,
Company Name,Exchange:Ticker,Industry Group,Country,Broad Group,Sub Group
"Ahjikan Co., Ltd. (TSE:2907)",TSE:2907,Food Processing,Japan,Japan,Japan
"Ahkun Co., Ltd. (TSE:3927)",TSE:3927,Software (System & Application),Japan,Japan,Japan
Ahresty Corporation (TSE:5852),TSE:5852,Auto Parts,Japan,Japan,Japan
Ai Holdings Corporation (TSE:3076),TSE:3076,Electronics (General),Japan,Japan,Japan
"AICA Kogyo Co., Ltd. (TSE:4206)",TSE:4206,Building Materials,Japan,Japan,Japan
Aichi Corporation (TSE:6345),TSE:6345,Construction Supplies,Japan,Japan,Japan
"Aichi Electric Co., Ltd. (NSE:6623)",NSE:6623,Electrical Equipment,Japan,Japan,Japan
Aichi Steel Corp. (TSE:5482),TSE:5482,Steel,Japan,Japan,Japan
"Aichi Tokei Denki Co., Ltd. (TSE:7723)",TSE:7723,Electronics (General),Japan,Japan,Japan
"Aida Engineering, Ltd. (TSE:6118)",TSE:6118,Machinery,Japan,Japan,Japan
AIFUL Corporation (TSE:8515),TSE:8515,Financial Svcs. (Non-bank & Insurance),Japan,Japan,Japan
"Aigan Co., Ltd. (TSE:9854)",TSE:9854,Retail (Special Lines),Japan,Japan,Japan
Aiko Corporation (JASDAQ:9909),JASDAQ:9909,Retail (Distributors),Japan,Japan,Japan
Aiming Inc. (TSE:3911),TSE:3911,Software (System & Application),Japan,Japan,Japan
Ain Holdings Inc. (TSE:9627),TSE:9627,Retail (Special Lines),Japan,Japan,Japan
"Ainavo Holdings Co., Ltd. (JASDAQ:7539)",JASDAQ:7539,Homebuilding,Japan,Japan,Japan
"Aiphone Co., Ltd. (TSE:6718)",TSE:6718,Telecom. Equipment,Japan,Japan,Japan
Air Water Inc. (TSE:4088),TSE:4088,Power,Japan,Japan,Japan
Airex Inc. (JASDAQ:6944),JASDAQ:6944,Semiconductor,Japan,Japan,Japan
"Airport Facilities Co., Ltd. (TSE:8864)",TSE:8864,Real Estate (Operations & Services),Japan,Japan,Japan
"Airtech Japan,Ltd. (TSE:6291)",TSE:6291,Machinery,Japan,Japan,Japan
Aisan Industry Co. Ltd. (TSE:7283),TSE:7283,Auto Parts,Japan,Japan,Japan
"Aisan Technology Co., Ltd. (JASDAQ:4667)",JASDAQ:4667,Software (System & Application),Japan,Japan,Japan
"Aisei Pharmacy Co.,Ltd. (JASDAQ:3170)",JASDAQ:3170,Retail (Special Lines),Japan,Japan,Japan
"Aisin Seiki Co., Ltd. (TSE:7259)",TSE:7259,Auto Parts,Japan,Japan,Japan
AIT Corporation (TSE:9381),TSE:9381,Transportation,Japan,Japan,Japan
"Aizawa Securities Co., Ltd. (TSE:8708)",TSE:8708,Brokerage & Investment Banking,Japan,Japan,Japan
"Ajinomoto Co., Inc. (TSE:2802)",TSE:2802,Food Processing,Japan,Japan,Japan
"AJIS Co., Ltd. (JASDAQ:4659)",JASDAQ:4659,Business & Consumer Services,Japan,Japan,Japan
Akasaka Diesels Limited (TSE:6022),TSE:6022,Construction Supplies,Japan,Japan,Japan
"Akatsuki Eazima Co., Ltd. (JASDAQ:1997)",JASDAQ:1997,Engineering/Construction,Japan,Japan,Japan
"Akatsuki Financial Group, Inc. (TSE:8737)",TSE:8737,Brokerage & Investment Banking,Japan,Japan,Japan
Akebono Brake Industry Co. Ltd. (TSE:7238),TSE:7238,Auto Parts,Japan,Japan,Japan
"Akiba Holdings Co., Ltd. (JASDAQ:6840)",JASDAQ:6840,Computers/Peripherals,Japan,Japan,Japan
"Akikawa Foods & Farms Co., Ltd. (JASDAQ:1380)",JASDAQ:1380,Food Processing,Japan,Japan,Japan
ALBERT Inc. (TSE:3906),TSE:3906,Software (Internet),Japan,Japan,Japan
"ALBIS Co.,Ltd. (TSE:7475)",TSE:7475,Retail (Grocery and Food),Japan,Japan,Japan
ALCONIX Corporation (TSE:3036),TSE:3036,Metals & Mining,Japan,Japan,Japan
Alfresa Holdings Corporation (TSE:2784),TSE:2784,Healthcare Support Services,Japan,Japan,Japan
Alinco Incorporated (TSE:5933),TSE:5933,Machinery,Japan,Japan,Japan
"All About, Inc. (JASDAQ:2454)",JASDAQ:2454,Software (Internet),Japan,Japan,Japan
"Allied Architects, Inc. (TSE:6081)",TSE:6081,Advertising,Japan,Japan,Japan
Allied Telesis Holdings K.K. (TSE:6835),TSE:6835,Telecom. Equipment,Japan,Japan,Japan
Almedio Inc. (TSE:7859),TSE:7859,Electronics (General),Japan,Japan,Japan
"Almetax Manufacturing Co., Ltd. (TSE:5928)",TSE:5928,Building Materials,Japan,Japan,Japan
"Alpen Co., Ltd. (TSE:3028)",TSE:3028,Retail (Special Lines),Japan,Japan,Japan
"Alpha Co., Ltd. (JASDAQ:4760)",JASDAQ:4760,Advertising,Japan,Japan,Japan
ALPHA Corporation (TSE:3434),TSE:3434,Auto Parts,Japan,Japan,Japan
Alpha Group Inc. (JASDAQ:3322),JASDAQ:3322,Retail (Special Lines),Japan,Japan,Japan
Alpha Systems Inc. (TSE:4719),TSE:4719,Software (System & Application),Japan,Japan,Japan
"AlphaPolis Co.,Ltd. (TSE:9467)",TSE:9467,Publshing & Newspapers,Japan,Japan,Japan
"Alphax Food System Co.,Ltd (JASDAQ:3814)",JASDAQ:3814,Computer Services,Japan,Japan,Japan
"Alpine Electronics, Inc. (TSE:6816)",TSE:6816,Electronics (Consumer & Office),Japan,Japan,Japan
Alps Electric Co. Ltd. (TSE:6770),TSE:6770,Electronics (General),Japan,Japan,Japan
"Alps Logistics Co., Ltd. (TSE:9055)",TSE:9055,Trucking,Japan,Japan,Japan
Altech Co. Ltd. (TSE:9972),TSE:9972,Retail (Distributors),Japan,Japan,Japan
Altech Corporation (TSE:4641),TSE:4641,Business & Consumer Services,Japan,Japan,Japan
Altplus Inc. (TSE:3672),TSE:3672,Software (Entertainment),Japan,Japan,Japan
"Amada Holdings Co., Ltd. (TSE:6113)",TSE:6113,Machinery,Japan,Japan,Japan
Amagasa Co. Ltd. (JASDAQ:3070),JASDAQ:3070,Shoe,Japan,Japan,Japan
amana inc. (TSE:2402),TSE:2402,Entertainment,Japan,Japan,Japan
Amano Corp. (TSE:6436),TSE:6436,Electronics (General),Japan,Japan,Japan
Amatei Incorporated (TSE:5952),TSE:5952,Building Materials,Japan,Japan,Japan
"Amaze Co.,Ltd. (FKSE:6076)",FKSE:6076,Hotel/Gaming,Japan,Japan,Japan
Ambition Corporation (TSE:3300),TSE:3300,Real Estate (Operations & Services),Japan,Japan,Japan
"Amita Holdings Co., Ltd. (JASDAQ:2195)",JASDAQ:2195,Environmental & Waste Services,Japan,Japan,Japan
"Amiyaki Tei Co., Ltd. (TSE:2753)",TSE:2753,Restaurant/Dining,Japan,Japan,Japan
AMUSE Inc. (TSE:4301),TSE:4301,Entertainment,Japan,Japan,Japan
ANA Holdings Inc. (TSE:9202),TSE:9202,Air Transport,Japan,Japan,Japan
Anabuki Kosan Inc. (TSE:8928),TSE:8928,Real Estate (General/Diversified),Japan,Japan,Japan
ANAP Inc. (JASDAQ:3189),JASDAQ:3189,Retail (Special Lines),Japan,Japan,Japan
